direction,pixels,area_km2,pct
E,8435,7.5915,6.602998160397667
NE,3753,3.3777,2.9378840659125602
N,12199,10.979099999999999,9.549493130846608
NW,48147,43.3323,37.689929155739954
W,44827,40.3443,35.091001604759484
SW,6416,5.7744,5.022505773220087
S,1569,1.4121,1.2282281106892639
SE,2399,2.1591,1.8779599984343809
